1, 1, 49
1, 2, 16
1, 3, 37
1, 4, 51
1, 5, 87
1, 6, 91
1, 7, 26
1, 8, 99
1, 9, 37
1, 10, 15
1, 11, 76
1, 12, 74
1, 13, 1
1, 14, 62
1, 15, 38
1, 16, 6
1, 17, 35
1, 18, 64
1, 19, 33
1, 20, 55
1, 21, 57
1, 22, 40
1, 23, 45
1, 24, 82
2, 1, 83
2, 2, 83
2, 3, 83
2, 4, 83
2, 5, 83
2, 6, 83
2, 7, 83
2, 8, 2
2, 9, 47
2, 10, 25
2, 11, 66
2, 12, 21
2, 13, 83
2, 14, 32
2, 15, 12
2, 16, 96
2, 17, 83
2, 18, 32
2, 19, 11
2, 20, 60
2, 21, 8
2, 22, 27
2, 23, 85
2, 24, 36
3, 1, 10
3, 2, 36
3, 3, 83
3, 4, 24
3, 5, 10
3, 6, 36
3, 7, 83
3, 8, 37
3, 9, 86
3, 10, 8
3, 11, 21
3, 12, 39
3, 13, 81
3, 14, 87
3, 15, 22
3, 16, 77
3, 17, 75
3, 18, 71
3, 19, 25
3, 20, 76
3, 21, 30
3, 22, 12
3, 23, 90
3, 24, 10
4, 1, 77
4, 2, 93
4, 3, 84
4, 4, 54
4, 5, 90
4, 6, 39
4, 7, 7
4, 8, 31
4, 9, 53
4, 10, 97
4, 11, 82
4, 12, 14
4, 13, 31
4, 14, 42
4, 15, 34
4, 16, 22
4, 17, 29
4, 18, 43
4, 19, 74
4, 20, 17
4, 21, 39
4, 22, 7
4, 23, 89
4, 24, 29
5, 1, 78
5, 2, 21
5, 3, 52
5, 4, 12
5, 5, 44
5, 6, 56
5, 7, 11
5, 8, 99
5, 9, 53
5, 10, 28
5, 11, 73
5, 12, 66
5, 13, 74
5, 14, 49
5, 15, 4
5, 16, 47
5, 17, 71
5, 18, 91
5, 19, 58
5, 20, 8
5, 21, 23
5, 22, 69
5, 23, 29
5, 24, 24
6, 1, 18
6, 2, 85
6, 3, 78
6, 4, 95
6, 5, 43
6, 6, 81
6, 7, 83
6, 8, 91
6, 9, 98
6, 10, 59
6, 11, 85
6, 12, 42
6, 13, 39
6, 14, 9
6, 15, 14
6, 16, 62
6, 17, 5
6, 18, 93
6, 19, 53
6, 20, 81
6, 21, 83
6, 22, 96
6, 23, 27
6, 24, 17
7, 1, 50
7, 2, 67
7, 3, 50
7, 4, 67
7, 5, 50
7, 6, 67
7, 7, 50
7, 8, 86
7, 9, 54
7, 10, 65
7, 11, 95
7, 12, 51
7, 13, 35
7, 14, 81
7, 15, 24
7, 16, 20
7, 17, 83
7, 18, 81
7, 19, 24
7, 20, 31
7, 21, 18
7, 22, 99
7, 23, 35
7, 24, 18
8, 1, 92
8, 2, 55
8, 3, 92
8, 4, 54
8, 5, 14
8, 6, 91
8, 7, 86
8, 8, 44
8, 9, 39
8, 10, 19
8, 11, 96
8, 12, 33
8, 13, 74
8, 14, 2
8, 15, 50
8, 16, 33
8, 17, 78
8, 18, 41
8, 19, 78
8, 20, 12
8, 21, 35
8, 22, 77
8, 23, 44
8, 24, 54
9, 1, 83
9, 2, 81
9, 3, 81
9, 4, 83
9, 5, 81
9, 6, 81
9, 7, 83
9, 8, 83
9, 9, 97
9, 10, 30
9, 11, 72
9, 12, 7
9, 13, 59
9, 14, 73
9, 15, 25
9, 16, 62
9, 17, 83
9, 18, 23
9, 19, 87
9, 20, 3
9, 21, 83
9, 22, 81
9, 23, 81
9, 24, 81
10, 1, 71
10, 2, 3
10, 3, 63
10, 4, 58
10, 5, 87
10, 6, 19
10, 7, 32
10, 8, 53
10, 9, 16
10, 10, 52
10, 11, 37
10, 12, 32
10, 13, 6
10, 14, 12
10, 15, 29
10, 16, 20
10, 17, 98
10, 18, 93
10, 19, 35
10, 20, 66
10, 21, 50
10, 22, 8
10, 23, 64
10, 24, 4
